"","ward_pre","dole_pct","bush2000_pct","votes_cast_1996","votes_cast_2000","nondemo.distance","demo.distance","white_median_income","black_median_income","white_name","black_name","registrants"
"2045","41 7",0.39622641509434,0.459965928449744,583,587,15483.9605793054,17217.7807813982,46754,0,0.962065095532399,0,664
"2046","41 8",0.404819277108434,0.466992665036675,415,409,14756.8250845211,16498.6509122984,43094,0,0.934146837307453,0,413
"2047","41 9",0.299465240641711,0.371584699453552,374,366,12263.7313121135,13989.2899412506,38858,0,0.882309375309893,5.34040744288334e-05,535
"2048","41 10",0.466321243523316,0.508393285371703,386,417,14855.9251808371,16259.7474430333,58978,74307,0.952430637376915,0.00503300493703894,393
"2049","41 11",0.378640776699029,0.476712328767123,309,365,14722.1353719979,16441.5941063835,54409,0,0.935298228626969,0.00102913079785472,470
"2050","41 12",0.322429906542056,0.401826484018265,428,438,12302.238187291,14047.0977533886,29103,24857,0.90737669479209,0.000909216252326171,318
"2051","41 13",0.439890710382514,0.392757660167131,366,359,14035.4478743694,15779.3782229782,30699,0,0.905945590819018,0.0117742021623496,460
"2052","41 14",0.431460674157303,0.433920704845815,445,454,12918.8788252979,14259.2204019936,95079,0,0.952839439783814,0,339
"2053","41 15",0.36676217765043,0.428571428571429,349,308,14958.2480298511,16684.4999088744,21563,0,0.958077465120696,0,506
"2054","41 16",0.379008746355685,0.382978723404255,343,423,14354.0304725718,16072.9440870138,49234,0,0.942339900086899,8.12449368967798e-05,522
"2055","41 17",0.407202216066482,0.431761786600496,361,403,13809.3037480137,15540.8861492639,63903,0,0.921143954530663,0.000793292646549023,448
"2056","41 18",0.444816053511706,0.474522292993631,299,314,14263.8373285715,16001.9529386312,53019,0,0.94992150375552,0.0230559595425091,857
"2057","41 19",0.376146788990826,0.419678714859438,436,498,13532.3988174552,15249.8336250398,57243,26381,0.905957456344133,0.00421202822007421,535
"2058","41 20",0.344902386117137,0.432941176470588,461,425,14266.5177568085,16000.0034844175,5750,0,0.928852511148298,0,125
"2059","41 21",0.36745406824147,0.443478260869565,381,345,13153.5184230654,14863.584067051,37387,0,0.925407834126139,0.000556825174931979,394
"2060","41 22",0.423376623376623,0.497159090909091,385,352,14028.5426075683,15740.1709685866,53019,0,0.968333402581652,0.000591780341125182,484
"2061","41 23",0.375576036866359,0.443069306930693,434,404,13856.1855285037,15431.5012359793,61954,0,0.947498455480257,0.00088998737518465,485
"2062","41 24",0.392941176470588,0.491666666666667,425,360,12159.1308601802,13899.2258325728,41684,0,0.867264249811678,0.00048396158343017,422
"2063","41 25",0.400684931506849,0.417543859649123,292,285,14862.218641011,16599.9166944026,3400,3547,0.83963454956518,0.0045441156026165,553
"2064","41 26",0.434782608695652,0.501742160278746,299,287,14442.8087576308,16179.6497276286,3902,4070,0.927070400665922,0.000319268141640693,147
"2066","41 28",0.265853658536585,0.368932038834951,410,309,15442.7738085749,17185.2958988245,14352,14970,0.825343945451131,0.0398197938896232,691
"2067","41 29",0.309623430962343,0.326530612244898,239,245,15273.5611312016,17017.8033169506,10376,10822,0.819534593613469,0.0101392620559547,340
"2068","41 30",0.347043701799486,0.366925064599483,389,387,12223.7021941055,13957.3007969097,45561,0,0.906891271000883,0.00116545097040811,386
"2069","41 31",0.420560747663551,0.45873786407767,428,412,14601.6374830805,16335.027120441,28274,0,0.933898232531677,0.000505933723013211,608
"2070","41 32",0.475675675675676,0.558746736292428,370,383,14747.7489914279,16492.3834687532,59765,0,0.932517026459963,0.00811271138952877,456
"2071","41 33",0.441798941798942,0.4750656167979,378,381,13423.9091058381,15169.5365009622,34756,0,0.93077396969293,0,471
"2072","41 34",0.403269754768392,0.49025069637883,367,359,13939.8096264623,15684.9350130271,56623,0,0.955331055265744,9.01166262416658e-05,406
